name,rate,review
아아아,10, 										톰하디와 니콜라스홀트라니! 빨랑 나와라ㅏ									
쪼라쪼니,10, 										매...매드맥스 ㅠㅠ 매우 기대되네요.. 얼마만인지 ㅠㅠ 근데 이번에도 엔딩은 허무?									
제이슨,4, 										출연진 딱 보니까  대작영화 삼류영화 시리즈 되겠네요. 									
ㅃ액도어,8, 										그래도 감독이 조지 밀러다. 맬깁슨 눈빛연기도 흥행이유였지만 조지밀러의 세기말 분위기가 훨씬 위였다. 기대된다.									
루팡 3세 ^.-~*,10, 										샤를리즈 테론 정말 나오나요? 테레사 팔머에 테론이면 좋은데!! 관건은 영화 완성도와 톰 하디가 깁슨을 얼마나 커버 할지다!! 깁슨이 꼭 카메오로 나와주면 좋겠다!! 자신의 출세작이자 대표작인데!! 꼭!!!									
마루소년,10, 										멜 깁슨이 없는 매드맥스는 상상하기가 힘들지만 그래도 감독은 여전히 조지 밀러...									
titan2013,1, 										마초적 영화였던 매드맥스에 여배우 샤를리즈 테론이라니;;? 매드맥스 기대할거 없겠네;; 									
